stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
94-52001,,Abrantes,,39.4396858215332,-8.19376659393311,,,0,,,
94-48124,,Abrunhosa,,40.5728874206543,-7.64854621887207,,,0,,,
94-36046,,Ademia,,40.2503356933594,-8.45053958892822,,,0,,,
94-18119,,Afife,,41.7782096862793,-8.86222076416016,,,0,,,
94-61002,,Agualva-Cacem,,38.7640151977539,-9.2966833114624,,,0,,,
94-3046,,Aguas Santas - Palmilheira,,41.2005653381348,-8.55650520324707,,,0,,,
94-39057,,Aguda,,41.0517234802246,-8.6515588760376,,,0,,,
94-42218,,Agueda,,40.5773582458496,-8.44844341278076,,,0,,,
94-42267,,Aguieira,,40.6113128662109,-8.45872211456299,,,0,,,
94-37093,,Aguim,,40.4162559509277,-8.45672607421875,,,0,,,
94-34439,,Albergaria dos Doze,,39.7975273132324,-8.58575630187988,,,0,,,
94-78063,,Albufeira - Ferreiras,,37.1288375854492,-8.23318481445313,,,0,,,
94-74120,,Alcacovas,,38.407901763916,-8.09642219543457,,,0,,,
94-53504,,Alcaide,,40.1336784362793,-7.44773006439209,,,0,,,
94-53140,,Alcains,,39.9194755554199,-7.43617677688599,,,0,,,
94-69039,,Alcantara-Mar,,38.7019386291504,-9.17207431793213,,,0,,,
94-67025,,Alcantara-Terra,,38.7075881958008,-9.17284870147705,,,0,,,
94-90092,,Alcantarilha,,37.1699905395508,-8.34758758544922,,,0,,,
94-53629,,Alcaria,,40.2001495361328,-7.51826286315918,,,0,,,
94-49411,,Aldeia,,40.6009483337402,-6.87313079833984,,,0,,,
94-11064,,Alegria,,41.1762542724609,-7.37739706039429,,,0,,,
94-35006,,Alfarelos,,40.1653671264648,-8.63447284698486,,,0,,,
94-52068,,Alferrarede,,39.4735450744629,-8.18784618377686,,,0,,,
94-69088,,Alges,,38.6983451843262,-9.2292366027832,,,0,,,
94-90050,,Algoz,,37.1680221557617,-8.30478954315186,,,0,,,
94-61069,,Algueirao-Mem Martins,,38.7983665466309,-9.33836936950684,,,0,,,
94-31237,,Alhandra,,38.923267364502,-9.01161289215088,,,0,,,
94-95075,,Alhos Vedros,,38.6523323059082,-9.02857398986816,,,0,,,
94-78253,,Almancil,,37.0950965881348,-8.02407741546631,,,0,,,
94-51102,,Almourol,,39.4626274108887,-8.37497520446777,,,0,,,
94-53355,,Alpedrinha,,40.0951843261719,-7.46282577514648,,,0,,,
94-6338,,Alvaraes,,41.6484336853027,-8.73914337158203,,,0,,,
94-52209,,Alvega-Ortiga,,39.4723434448242,-8.04525279998779,,,0,,,
94-31187,,Alverca,,38.8892440795898,-9.03457260131836,,,0,,,
94-74351,,Alvito,,38.2331314086914,-8.00077247619629,,,0,,,
94-60087,,Amadora,,38.7591323852539,-9.23452091217041,,,0,,,
94-35097,,Amial,,40.1923522949219,-8.54496097564697,,,0,,,
94-18150,,Ancora Praia,,41.8162078857422,-8.86679458618164,,,0,,,
94-9191,,Aregos,,41.1064491271973,-8.00662231445313,,,0,,,
94-6395,,Areia-Darque,,41.6840858459473,-8.79927730560303,,,0,,,
94-29066,,Arentim,,41.48876953125,-8.51073360443115,,,0,,,
94-18044,,Areosa,,41.7186470031738,-8.85457897186279,,,0,,,
94-44248,,Arrifana,,40.9090766906738,-8.50119686126709,,,0,,,
94-57174,,Arronches,,39.0968627929688,-7.33337306976318,,,0,,,
94-57117,,Assumar,,39.1386985778809,-7.38204002380371,,,0,,,
94-38216,,Avanca,,40.8071365356445,-8.58450126647949,,,0,,,
94-38000,,Aveiro,,40.6452789306641,-8.63984107971191,,,0,,,
94-29108,,Aveleda,,41.5204315185547,-8.46817779541016,,,0,,,
71-10400,,Avila,,40.6572494506836,-4.68330812454224,,,0,,,
94-33001,,Azambuja,,39.067626953125,-8.86775302886963,,,0,,,
94-42051,,Azurva,,40.6396179199219,-8.58892726898193,,,0,,,
71-37606,,Badajoz,,38.8906898498535,-6.98174715042114,,,0,,,
94-95059,,Baixa da Banheira,,38.659969329834,-9.04549789428711,,,0,,,
94-48454,,Baracal,,40.6819305419922,-7.32174587249756,,,0,,,
94-52415,,Barca da Amieira-Envendos,,39.5260734558105,-7.83504199981689,,,0,,,
94-6122,,Barcelos,,41.5366287231445,-8.60897636413574,,,0,,,
94-9324,,Barqueiros,,41.1408805847168,-7.88749694824219,,,0,,,
94-51045,,Barquinha,,39.4618835449219,-8.43600368499756,,,0,,,
94-52241,,Barragem de Belver,,39.481861114502,-8.00187015533447,,,0,,,
94-95000,,Barreiro,,38.6536560058594,-9.080153465271,,,0,,,
94-95026,,Barreiro-A,,38.6598739624023,-9.07159423828125,,,0,,,
94-5058,,Barrimau,,41.3896331787109,-8.52624702453613,,,0,,,
94-6304,,Barroselas,,41.6463356018066,-8.70086193084717,,,0,,,
94-75002,,Beja,,38.018383026123,-7.85840606689453,,,0,,,
94-69054,,Belem,,38.6958770751953,-9.19676685333252,,,0,,,
94-52282,,Belver,,39.491943359375,-7.95906496047974,,,0,,,
94-55129,,Bemposta,,39.3524208068848,-8.13573265075684,,,0,,,
94-35170,,Bencanta,,40.214542388916,-8.45659637451172,,,0,,,
94-60046,,Benfica,,38.7445182800293,-9.20131969451904,,,0,,,
94-52878,,Benquerencas,,39.7879486083984,-7.56281900405884,,,0,,,
94-64022,,Bifurcacao de Lares,,40.1191482543945,-8.76298046112061,,,0,,,
94-31070,,Bobadela,,38.8062515258789,-9.09501266479492,,,0,,,
94-78147,,Boliqueime,,37.1230697631836,-8.15310287475586,,,0,,,
94-73031,,Bom Joao,,37.0140991210938,-7.9213981628418,,,0,,,
94-62703,,Bombarral,,39.2653999328613,-9.15335273742676,,,0,,,
94-31005,,Braco de Prata,,38.7466011047363,-9.10292434692383,,,0,,,
94-29157,,Braga,,41.5478744506836,-8.43464183807373,,,0,,,
71-11014,,Burgos Rosa de Lima,,42.3712043762207,-3.66631197929382,,,0,,,
94-8334,,Bustelo,,41.2353744506836,-8.27678394317627,,,0,,,
94-42150,,Cabanoes,,40.5870704650879,-8.49818229675293,,,0,,,
94-8029,,Cabeda,,41.2203330993652,-8.53469562530518,,,0,,,
94-73452,,Cacela,,37.1763877868652,-7.53862905502319,,,0,,,
94-15420,,Cachao,,41.3844528198242,-7.16795015335083,,,0,,,
94-38075,,Cacia,,40.6858139038086,-8.5966100692749,,,0,,,
94-8383,,Caide,,41.2524337768555,-8.2268238067627,,,0,,,
94-63008,,Caldas da Rainha,,39.4077033996582,-9.1406192779541,,,0,,,
94-9399,,Caldas de Moledo,,41.1527442932129,-7.82636117935181,,,0,,,
94-18242,,Caminha,,41.877685546875,-8.82559871673584,,,0,,,
94-60004,,Campolide,,38.7361030578613,-9.16818141937256,,,0,,,
94-46599,,Canas-Felgueira,,40.4906425476074,-7.90709209442139,,,0,,,
94-38117,,Canelas,,40.7171630859375,-8.56412696838379,,,0,,,
94-28100,,Canicos,,41.3639945983887,-8.43479347229004,,,0,,,
94-6197,,Carapecos,,41.5843772888184,-8.63388347625732,,,0,,,
94-69187,,Carcavelos,,38.6869468688965,-9.33719062805176,,,0,,,
94-40030,,Carrascal-Delongo,,39.5481147766113,-8.46243095397949,,,0,,,
94-18085,,Carreco,,41.751880645752,-8.86366653442383,,,0,,,
94-31336,,Carregado,,39.0043487548828,-8.95462322235107,,,0,,,
94-46482,,Carregal do Sal,,40.4362144470215,-8.0034008026123,,,0,,,
94-6056,,Carreira,,41.4865264892578,-8.5638313293457,,,0,,,
94-18416,,Carvalha,,41.984073638916,-8.68846702575684,,,0,,,
94-42309,,Carvalhal Portela,,40.6391944885254,-8.45183372497559,,,0,,,
94-38356,,Carvalheira-Maceda,,40.9252548217773,-8.62619018554688,,,0,,,
94-40113,,Carvalhos de Figueiredo,,39.5706748962402,-8.39507579803467,,,0,,,
94-74005,,Casa Branca,,38.4983291625977,-8.15867710113525,,,0,,,
94-35147,,Casais,,40.2048149108887,-8.48495197296143,,,0,,,
94-42168,,Casal Alvaro,,40.579833984375,-8.49191665649414,,,0,,,
94-69260,,Cascais,,38.7007637023926,-9.41856384277344,,,0,,,
94-31310,,Castanheira do Ribatejo,,38.9886512756348,-8.96498680114746,,,0,,,
94-46409,,Castelejo,,40.4078254699707,-8.08442306518555,,,0,,,
94-53009,,Castelo Branco,,39.8181076049805,-7.49091196060181,,,0,,,
94-49312,,Castelo Mendo,,40.558666229248,-6.9415979385376,,,0,,,
94-53314,,Castelo Novo,,40.0631866455078,-7.46207523345947,,,0,,,
94-73502,,Castro Marim,,37.1971473693848,-7.48453903198242,,,0,,,
94-44172,,Cavaco,,40.9395294189453,-8.53745269775391,,,0,,,
94-34330,,Caxarias,,39.7170524597168,-8.54949760437012,,,0,,,
94-69120,,Caxias,,38.6988868713379,-9.27444076538086,,,0,,,
94-48405,,Celorico da Beira,,40.6719627380371,-7.37613105773926,,,0,,,
94-49205,,Cerdeira,,40.5108871459961,-7.04733800888062,,,0,,,
94-8227,,Cete,,41.1722221374512,-8.35376453399658,,,0,,,
94-56101,,Chanca,,39.2757911682129,-7.80799293518066,,,0,,,
71-33013,,Ciudad Rodrigo,,40.608699798584,-6.53048992156982,,,0,,,
94-41020,,Coimbra,,40.2096748352051,-8.43318653106689,,,0,,,
94-36004,,Coimbra-B,,40.224365234375,-8.44046783447266,,,0,,,
94-39149,,Coimbroes,,41.1245384216309,-8.63337993621826,,,0,,,
94-73379,,Conceicao,,37.1444206237793,-7.60580110549927,,,0,,,
94-48066,,Contencas,,40.5668067932129,-7.71442079544067,,,0,,,
94-3004,,Contumil,,41.1683959960938,-8.57565021514893,,,0,,,
94-38372,,Cortegaca,,40.9415702819824,-8.63062953948975,,,0,,,
94-29033,,Couto de Cambeses,,41.4808235168457,-8.52917766571045,,,0,,,
94-44297,,Couto de Cucujaes,,40.8680763244629,-8.49420166015625,,,0,,,
94-28290,,Covas,,41.4242362976074,-8.30090045928955,,,0,,,
94-10090,,Covelinhas,,41.1525993347168,-7.68790006637573,,,0,,,
94-54007,,Covilha,,40.2774810791016,-7.49611616134644,,,0,,,
94-56267,,Crato,,39.2695617675781,-7.63573694229126,,,0,,,
94-69104,,Cruz Quebrada,,38.6999206542969,-9.25218868255615,,,0,,,
94-74476,,Cuba,,38.1637687683105,-7.89512777328491,,,0,,,
94-28209,,Cuca,,41.3759803771973,-8.33824920654297,,,0,,,
94-37119,,Curia,,40.4257431030273,-8.45589065551758,,,0,,,
94-40063,,Curvaceiras,,39.5478858947754,-8.42992877960205,,,0,,,
94-62802,,Dagorda-Peniche,,39.348461151123,-9.17050266265869,,,0,,,
94-6387,,Darque,,41.6798362731934,-8.78090476989746,,,0,,,
94-62380,,Dois Portos,,39.0440368652344,-9.18427276611328,,,0,,,
94-53520,,Donas,,40.132080078125,-7.472571849823,,,0,,,
94-6262,,Durraes,,41.6389007568359,-8.66616058349609,,,0,,,
94-42119,,Eirol,,40.609432220459,-8.5317964553833,,,0,,,
94-42077,,Eixo,,40.6312828063965,-8.56804752349854,,,0,,,
94-57497,,Elvas,,38.8956565856934,-7.14226198196411,,,0,,,
94-34009,,Entroncamento,,39.461597442627,-8.47418022155762,,,0,,,
94-4002,,Ermesinde,,41.2173500061035,-8.5542516708374,,,0,,,
94-9258,,Ermida,,41.1245384216309,-7.95009708404541,,,0,,,
94-93005,,Ermidas-Sado,,38.0028953552246,-8.41385364532471,,,0,,,
94-44222,,Escapaes,,40.9178237915039,-8.51114273071289,,,0,,,
94-42028,,Esgueira,,40.6414909362793,-8.61986923217773,,,0,,,
94-5033,,Esmeriz,,41.3782196044922,-8.51963138580322,,,0,,,
94-38406,,Esmoriz,,40.9630737304688,-8.63551044464111,,,0,,,
94-31401,,Espadanal da Azambuja,,39.0505104064941,-8.90289497375488,,,0,,,
94-35162,,Espadaneira,,40.2090797424316,-8.47103786468506,,,0,,,
94-39008,,Espinho,,41.0061950683594,-8.64448547363281,,,0,,,
94-44016,,Espinho-Vouga,,41.0023460388184,-8.64345073699951,,,0,,,
94-18291,,Esqueiro,,41.9159736633301,-8.78014278411865,,,0,,,
94-38158,,Estarreja,,40.7512092590332,-8.57563591003418,,,0,,,
94-90241,,Estombar-Lagoa,,37.1429595947266,-8.4835729598999,,,0,,,
94-69245,,Estoril,,38.7022857666016,-9.39833641052246,,,0,,,
94-83006,,Evora,,38.5586624145508,-7.90845394134521,,,0,,,
94-5074,,Famalicao,,41.4045524597168,-8.52973747253418,,,0,,,
94-63180,,Famalicao da Nazare,,39.5297431945801,-9.08948993682861,,,0,,,
94-44271,,Faria,,40.879093170166,-8.49497985839844,,,0,,,
94-73007,,Faro,,37.0186729431152,-7.9399299621582,,,0,,,
94-53462,,Fatela-Penamacor,,40.1495513916016,-7.41081190109253,,,0,,,
94-34249,,Fatima,,39.6538696289063,-8.49343013763428,,,0,,,
94-62364,,Feliteira,,39.0234680175781,-9.17913818359375,,,0,,,
94-71050,,Fernando Po,,38.6362075805664,-8.69304752349854,,,0,,,
94-11114,,Ferradosa,,41.1446228027344,-7.33130407333374,,,0,,,
94-90274,,Ferragudo,,37.1396102905273,-8.51513862609863,,,0,,,
94-10165,,Ferrao,,41.1616516113281,-7.60998678207397,,,0,,,
94-29132,,Ferreiros,,41.5314712524414,-8.44055271148682,,,0,,,
94-64113,,Figueira da Foz,,40.1487655639648,-8.84336376190186,,,0,,,
94-64089,,Fontela,,40.140983581543,-8.81063461303711,,,0,,,
94-64097,,Fontela-A,,40.1459541320801,-8.82238864898682,,,0,,,
94-35030,,Formoselha,,40.179328918457,-8.60684871673584,,,0,,,
94-48249,,Fornos de Algodres,,40.6120376586914,-7.52476215362549,,,0,,,
94-39081,,Francelos,,41.0824890136719,-8.6472053527832,,,0,,,
94-52571,,Fratel,,39.6138229370117,-7.7157769203186,,,0,,,
94-15453,,Frechas,,41.4092483520508,-7.1608772277832,,,0,,,
94-49387,,Freineda,,40.6014175415039,-6.90432596206665,,,0,,,
94-11247,,Freixo de Numao-Mos do Douro,,41.1347312927246,-7.21048498153687,,,0,,,
71-33016,,Fuentes de Onoro,,40.5984992980957,-6.82455015182495,,,0,,,
94-77008,,Funcheira,,37.7277565002441,-8.33765697479248,,,0,,,
94-53546,,Fundao,,40.1410713195801,-7.49657583236694,,,0,,,
94-34199,,Fungalvaz,,39.6163215637207,-8.49483680725098,,,0,,,
94-73205,,Fuseta,,37.0601654052734,-7.75146818161011,,,0,,,
94-73197,,Fuseta-A,,37.0535469055176,-7.74982500076294,,,0,,,
94-49049,,Gata,,40.5219573974609,-7.21446895599365,,,0,,,
94-39172,,General Torres,,41.1334953308105,-8.60739803314209,,,0,,,
94-28159,,Giesteira,,41.3651161193848,-8.38712501525879,,,0,,,
94-9423,,Godim,,41.1663856506348,-7.7972559928894,,,0,,,
94-18325,,Gondarem,,41.9199600219727,-8.76311779022217,,,0,,,
94-48165,,Gouveia,,40.5739822387695,-7.60091400146484,,,0,,,
94-92577,,Grandola,,38.1814384460449,-8.55458736419678,,,0,,,
94-39040,,Granja,,41.039234161377,-8.64735507965088,,,0,,,
94-49007,,Guarda,,40.5525321960449,-7.23981618881226,,,0,,,
94-63800,,Guia,,39.9561996459961,-8.80200004577637,,,0,,,
94-24000,,Guimaraes,,41.4353713989258,-8.29414176940918,,,0,,,
87-67700,,Hendaye,,43.3530616760254,-1.78183805942535,,,0,,,
94-8243,,Irivo,,41.1822319030762,-8.34179306030273,,,0,,,
71-11600,,Irun,,43.3395767211914,-1.80019104480743,,,0,,,
94-62257,,Jerumelo,,38.9499816894531,-9.23270606994629,,,0,,,
94-9050,,Juncal,,41.1421813964844,-8.12075424194336,,,0,,,
94-90464,,Lagos,,37.109619140625,-8.67430114746094,,,0,,,
94-34090,,Lamarosa,,39.5276985168457,-8.46846103668213,,,0,,,
94-44057,,Lapa,,40.9838485717773,-8.60552215576172,,,0,,,
94-46581,,Lapa do Lobo,,40.4754028320313,-7.92001914978027,,,0,,,
94-53215,,Lardosa,,39.9885063171387,-7.44081783294678,,,0,,,
94-64055,,Lares,,40.1270408630371,-8.78332328796387,,,0,,,
94-15495,,Latadas,,41.4168319702148,-7.15810203552246,,,0,,,
94-95042,,Lavradio,,38.6620903015137,-9.05944633483887,,,0,,,
94-4036,,Leandro,,41.2435302734375,-8.55669498443604,,,0,,,
94-63560,,Leiria,,39.7566032409668,-8.82803440093994,,,0,,,
94-69005,,Lisboa - Cais do Sodre,,38.7059059143066,-9.14438056945801,,,0,,,
94-66050,,Lisboa - Entrecampos,,38.7448501586914,-9.1476001739502,,,0,,,
94-31039,,Lisboa - Oriente,,38.7677841186523,-9.09811973571777,,,0,,,
94-59006,,Lisboa - Rossio,,38.7147598266602,-9.14590167999268,,,0,,,
94-30007,,Lisboa - Santa Apolonia,,38.7144889831543,-9.12229156494141,,,0,,,
94-66076,,Lisboa - Sete Rios,,38.7404327392578,-9.16567516326904,,,0,,,
94-34504,,Litem,,39.8377723693848,-8.60030269622803,,,0,,,
94-8474,,Livracao,,41.2167434692383,-8.15565299987793,,,0,,,
94-73239,,Livramento,,37.0735549926758,-7.73206901550293,,,0,,,
94-28191,,Lordelo,,41.3666458129883,-8.36227130889893,,,0,,,
94-78238,,Loule,,37.1045532226563,-8.05861568450928,,,0,,,
94-63875,,Lourical,,40.0122871398926,-8.8137321472168,,,0,,,
94-5116,,Louro,,41.4367256164551,-8.5377197265625,,,0,,,
94-5009,,Lousado,,41.3511009216309,-8.5266580581665,,,0,,,
94-46094,,Luso-Bucaco,,40.39013671875,-8.38569259643555,,,0,,,
94-73262,,Luz,,37.088981628418,-7.70022106170654,,,0,,,
94-48488,,Macal do Chao,,40.695873260498,-7.3020601272583,,,0,,,
94-42325,,Macinhata,,40.6532783508301,-8.4583215713501,,,0,,,
94-39123,,Madalena,,41.1119575500488,-8.63780212402344,,,0,,,
71-17000,,Madrid,,40.4721031188965,-3.68283104896545,,,0,,,
